DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Compagnon - Bleu marine, rouge,#2a3962,Teal,MidnightBlue,#27305e,Teal,MidnightBlue,#5b5d72,Gray,DimGrey,,,,,,
Compagnon - Caramel, doré et turquoise  ,#a76e48,Gray,Chocolate,#b2794f,Gray,Chocolate,#b78155,Gray,DarkKhaki,#b47e53,Gray,DarkKhaki,,,
Pochette - Bleu marine,  fuchsia,#9f787f,Gray,Grey,#999795,Gray,DarkGrey,#9a9894,Gray,DarkGrey,#9c9997,Gray,DarkGrey,,,
Compagnon - Crème et chocolat,,#b79f80,Gray,RosyBrown,#baa383,Silver,RosyBrown,#a88e71,Gray,RosyBrown,#c5a87f,Silver,Tan,,,
Pochette en cuir - Noir,,#423d3d,Black,DimGrey,#565351,Gray,DimGrey,#4d4846,Gray,DimGrey,#585654,Gray,DimGrey,,,
Sac seau - Bleu marine, bleu marine et argenté  ,#44434e,Gray,DimGrey,#52515c,Gray,DimGrey,#4c4a56,Gray,DimGrey,#53525e,Gray,DimGrey,,,
Sac bandoulière - Bleu marine, turquoise,#393d65,Teal,MidnightBlue,#42425b,Gray,DimGrey,#3c445a,Teal,DimGrey,#5c5e63,Gray,DimGrey,,,
Collier   Doré, doré,#f69813,Orange,Orange,#e6ded0,Silver,LightGrey,,,,,,,,,
Manchette   Turquoise, turquoise,#ecd2bc,Silver,Moccasin,#ba98ac,Silver,DarkGrey,#c96c91,Gray,RosyBrown,,,,,,
Boucles d'oreilles   Argenté, argenté  ,#f3d2b5,Silver,Moccasin,#bdbdbd,Silver,Silver,#b7b7b7,Silver,Silver,,,,,,
Collier   Orange et noir, orange,#e6c3a5,Silver,Tan,#dfb0a5,Silver,Tan,,,,,,,,,
Ceinture en cuir   Marron, marron et doré  ,#b6564f,Gray,Chocolate,#5d403a,Gray,DimGrey,,,,,,,,,
Ceinture en cuir   Marron, marron et doré  ,#b6564f,Gray,Chocolate,#5d403a,Gray,DimGrey,,,,,,,,,
Ceinture métallisée   Argenté, argenté  ,#2686df,Teal,RoyalBlue,#2b80d5,Teal,RoyalBlue,#c2c2c4,Silver,Silver,#c8c8ca,Silver,Silver,,,
Ceinture   Corail fluo, corail fluo  ,#90aec6,Silver,DarkGrey,#de7672,Gray,Salmon,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#c44447,Gray,Brown,#343436,Black,MidnightBlue,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#ddd186,Silver,Khaki,#2c2929,Black,Black,#3c393a,Black,MidnightBlue,,,,,,
Ceinture motifs animaliers   Marron, marron et noir  ,#6c5355,Gray,DimGrey,#484140,Gray,DimGrey,,,,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Camel, camel  ,#d6c6b6,Silver,Silver,#795a49,Gray,DimGrey,#705343,Gray,DimGrey,,,,,,
Ceinture   Noir, noir  ,#ca4648,Gray,Crimson,#313031,Black,MidnightBlue,#2c2b2f,Black,MidnightBlue,,,,,,
Ceinture   Noir, noir  ,#ca4648,Gray,Crimson,#313031,Black,MidnightBlue,#2c2b2f,Black,MidnightBlue,,,,,,
Ceinture   Noir, noir et doré  ,#c33e42,Gray,Brown,#373334,Black,MidnightBlue,#343435,Black,MidnightBlue,,,,,,
Foulard   Bordeaux, bordeaux et bronze  ,#49333e,Black,MidnightBlue,#892a2b,Gray,Brown,,,,,,,,,
Foulard   Caramel, caramel  ,#c7844b,Gray,Chocolate,,,,,,,,,,,,
Porte-clés   Beige,,#b1a89b,Silver,DarkGrey,,,,,,,,,,,,
Porte-clés   Argenté,,#c1c1be,Silver,Silver,,,,,,,,,,,,
Top   Violet, violet  ,#bd2875,Gray,DarkMagenta,#c72a7e,Gray,DeepPink,#b20e68,Gray,DarkMagenta,#a21e59,Gray,Brown,,,
Top guipure Ecru, écru  ,#d7bfae,Silver,Silver,#76513d,Gray,DimGrey,#8a705a,Gray,DimGrey,#e0d0c5,Silver,LightGrey,,,
Top Blanc, blanc,#deaf8b,Silver,Tan,#e6bc9c,Silver,Tan,#d0c2b4,Silver,Silver,#e6bc9b,Silver,Tan,,,
Top dentelle   Moutarde, moutarde  ,#fbc55b,Orange,Khaki,#f7b664,Orange,Tan,#4b4b75,Gray,DimGrey,#f4b25e,Orange,Salmon,,,
Top dentelle   Moutarde, moutarde  ,#fbc55b,Orange,Khaki,#f7b664,Orange,Tan,#4b4b75,Gray,DimGrey,#f4b25e,Orange,Salmon,,,
Top Bleu marine, bleu marine  ,#4a517c,Gray,DimGrey,#495689,Gray,DimGrey,#d7b7a8,Silver,Tan,#40476b,Gray,DimGrey,,,
Top Bleu marine, bleu marine  ,#4a517c,Gray,DimGrey,#495689,Gray,DimGrey,#d7b7a8,Silver,Tan,#40476b,Gray,DimGrey,,,
Top   Noir, noir  ,#322a30,Black,MidnightBlue,#332b30,Black,MidnightBlue,#3f3231,Black,MidnightBlue,#c1946f,Gray,RosyBrown,#382622,Black,Black
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top   Blanc,,#f2d5c1,Silver,Moccasin,#e5bd9a,Silver,Tan,#b7b9bf,Silver,Silver,#efedf1,White,Lavender,,,
Top irisé   Turquoise, turquoise  ,#51c0d6,Aqua,MediumTurquoise,#5acbe3,Aqua,MediumTurquoise,#e5bfa7,Silver,Tan,#26a2bf,Teal,MediumTurquoise,,,
Top irisé   Turquoise, turquoise  ,#51c0d6,Aqua,MediumTurquoise,#5acbe3,Aqua,MediumTurquoise,#e5bfa7,Silver,Tan,#26a2bf,Teal,MediumTurquoise,,,
Top Blanc, blanc  ,#dfbb9d,Silver,Tan,#decdbf,Silver,LightGrey,#e99aab,Silver,LightPink,#e1c4a8,Silver,Tan,,,
Top Blanc, blanc  ,#dfbb9d,Silver,Tan,#decdbf,Silver,LightGrey,#e99aab,Silver,LightPink,#e1c4a8,Silver,Tan,,,
Top   Bleu nuit, bleu nuit  ,#2e2a51,Black,MidnightBlue,#322955,Black,MidnightBlue,#bfb7b7,Silver,Silver,#e8c6a8,Silver,LightPink,,,
Top Blanc, blanc  ,#e3b496,Silver,Tan,#eec6aa,Silver,LightPink,#e6c1a2,Silver,Tan,#e0d2cb,Silver,LightGrey,,,
Top dentelle Fuchsia, fuchsia  ,#f33c85,Gray,DeepPink,#f3778f,Silver,Salmon,#c3b8bd,Silver,Silver,#dc4269,Gray,Tomato,,,
Top irisé   Blanc, blanc  ,#ecc6a4,Silver,LightPink,#e6c0a1,Silver,Tan,#3b3439,Black,MidnightBlue,#e6bc97,Silver,Tan,,,
Top irisé  Marron foncé, marron foncé  ,#664a41,Gray,DimGrey,#62473e,Gray,DimGrey,#cd8f53,Gray,DarkKhaki,#583d33,Gray,DimGrey,,,
Top irisé  Marron foncé, marron foncé  ,#664a41,Gray,DimGrey,#62473e,Gray,DimGrey,#cd8f53,Gray,DarkKhaki,#583d33,Gray,DimGrey,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d2c8b9,Silver,Silver,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d2c8b8,Silver,Silver,,,
Top Bordeaux, bordeaux  ,#de5859,Gray,Tomato,#e4595b,Gray,Tomato,#cfae98,Silver,Tan,#c64549,Gray,Brown,,,
Top irisé   Bleu canard, bleu canard  ,#638fa8,Gray,Grey,#75a4bf,Gray,DarkGrey,#312627,Black,Black,#437f9c,Gray,Grey,,,
